shape,dtype,backend,iters,ms_median,ms_p95,ms_stddev,bandwidth_gbs,pct_of_peak
256x256,f32,hand_online_f32,200,0.006191999884322286,0.006783999968320131,0.008836841298040656,84.67183620714542,18.89996343909496
256x256,f32,hand_naive_f32,200,0.0066559999249875546,0.007199999876320362,0.012975984666910391,78.76923165695203,17.58241778056965
256x256,f16,hand_online_f16,200,0.005071999970823526,0.006783999968320131,0.007176508585083744,51.684542884064015,11.536728322335717
256x256,f32,triton_f32,200,0.004736000206321478,0.006624000146985054,0.000861543114677156,110.70269787999489,24.71042363392743
512x1024,f32,hand_online_f32,200,0.010784000158309937,0.012799999676644802,0.01233379280959702,388.9376797503061,86.81644637283617
512x1024,f32,hand_naive_f32,200,0.01283199992030859,0.016607999801635742,0.01880229432569082,326.8628449227058,72.96045645596111
512x1024,f16,hand_online_f16,200,0.008832000195980072,0.010751999914646149,0.0007370034880364421,237.4492700933735,53.00206921727088
512x1024,f32,triton_f32,200,0.010704000014811754,0.012768000364303589,0.015390776907566487,391.84454355344684,87.46529990032296
1024x1024,f32,hand_online_f32,200,0.02304000034928322,0.028672000393271446,0.009244627438221525,364.08888336935166,81.26984003780171
1024x1024,f32,hand_naive_f32,200,0.02753600012511015,0.033376000821590424,0.01709261384190305,304.6414861231209,68.00033172391092
1024x1024,f16,hand_online_f16,200,0.014976000413298607,0.017472000792622566,0.0248998638022534,280.0683683392183,62.515260790004085
1024x1024,f32,triton_f32,200,0.02127999998629093,0.028672000393271446,0.019225275652898246,394.20150401335223,87.99140714583756
1024x4096,f32,hand_online_f32,200,0.09055999666452408,0.09424000233411789,0.01971137524113,370.5215684172457,82.70570723599235
1024x4096,f32,hand_naive_f32,200,0.09321600198745728,0.09833600372076035,0.034867869025471204,359.96429029980214,80.34917194192012
1024x4096,f16,hand_online_f16,200,0.04713600128889084,0.05119999870657921,0.018407249337643417,355.9321016047686,79.44912982249299
1024x4096,f32,triton_f32,200,0.08851200342178345,0.09267199784517288,0.03764080113191305,379.0947069642535,84.6193542330923
2048x2048,f32,hand_online_f32,200,0.09070399776101112,0.09622400254011154,0.018926658821543083,369.93333070511346,82.57440417524855
2048x2048,f32,hand_naive_f32,200,0.09257599711418152,0.10291200131177902,0.03252385390298847,362.45282844336623,80.90464920610853
2048x2048,f16,hand_online_f16,200,0.049695998430252075,0.05321599915623665,0.01958153017138441,337.596919871661,75.35645532849576
2048x2048,f32,triton_f32,200,0.08671999722719193,0.09344000369310379,0.02633627332960886,386.92842565588404,86.36795215533127
4096x4096,f32,hand_online_f32,200,0.35288000106811523,0.5964480042457581,0.06204264339955855,380.34948876032337,84.89943945542932
4096x4096,f32,hand_naive_f32,200,0.35894399881362915,0.6079040169715881,0.06891368928432026,373.92386679708363,83.46514883863473
4096x4096,f16,hand_online_f16,200,0.1807360053062439,0.2011519968509674,0.03291731669707191,371.308770968402,82.88142209116116
4096x4096,f32,triton_f32,200,0.348688006401062,0.3978559970855713,0.06328116413104473,384.92212389325016,85.92011694045763
8192x8192,f32,hand_online_f32,200,1.4218560457229614,1.754591941833496,0.12913189580993417,377.5845758893411,84.2822714038708
8192x8192,f32,hand_naive_f32,200,1.4280320405960083,1.804800033569336,0.1440314202474568,375.95158703577107,83.91776496334175
8192x8192,f16,hand_online_f16,200,0.7090080082416534,0.9987519979476929,0.08906609673399261,378.60708606905933,84.51051028327218
8192x8192,f32,triton_f32,200,1.3905600309371948,1.6830719709396362,0.10716254476639667,386.0825135597817,86.17913249102271
